prime,index,p2p
7717,978,823
7723,979,824
7727,980,824
7741,981,826
7753,982,827
7757,983,827
7759,984,826
7789,985,830
7793,986,831
7817,987,834
7823,988,835
7829,989,836
7841,990,839
7853,991,839
7867,992,841
7873,993,842
7877,994,842
7879,995,841
7883,996,841
7901,997,845
7907,998,846
7919,999,847
7927,1000,846
7933,1001,846
7937,1002,845
7949,1003,848
7951,1004,848
7963,1005,851
7993,1006,854
8009,1007,856
8011,1008,855
8017,1009,855
8039,1010,860
8053,1011,863
8059,1012,863
8069,1013,863
8081,1014,864
8087,1015,863
8089,1016,862
8093,1017,862
8101,1018,864
8111,1019,864
8117,1020,866
8123,1021,865
8147,1022,868
8161,1023,869
8167,1024,869
8171,1025,869
8179,1026,869
8191,1027,872
8209,1028,873
8219,1029,875
8221,1030,874
8231,1031,876
8233,1032,875
8237,1033,874
8243,1034,875
8263,1035,877
8269,1036,877
8273,1037,876
8287,1038,880
8291,1039,879
8293,1040,878
8297,1041,877
8311,1042,879
8317,1043,880
8329,1044,882
8353,1045,887
8363,1046,886
8369,1047,886
8377,1048,887
8387,1049,888
8389,1050,887
8419,1051,891
8423,1052,891
8429,1053,890
8431,1054,889
8443,1055,891
8447,1056,891
8461,1057,893
8467,1058,894
8501,1059,900
8513,1060,901
8521,1061,904
8527,1062,905
8537,1063,904
8539,1064,904
8543,1065,903
8563,1066,907
8573,1067,907
8581,1068,907
8597,1069,910
8599,1070,909
8609,1071,911
8623,1072,912
8627,1073,911
8629,1074,911
8641,1075,910
8647,1076,911
8663,1077,913
8669,1078,914
8677,1079,915
8681,1080,915
8689,1081,915
8693,1082,915
8699,1083,917
8707,1084,917
8713,1085,918
8719,1086,918
8731,1087,919
8737,1088,920
8741,1089,920
8747,1090,922
8753,1091,922
8761,1092,923
8779,1093,924
8783,1094,923
8803,1095,928
8807,1096,928
8819,1097,929
8821,1098,928
8831,1099,929
8837,1100,929
8839,1101,928
8849,1102,929
8861,1103,930
8863,1104,929
8867,1105,929
8887,1106,932
8893,1107,932
8923,1108,937
8929,1109,937
8933,1110,937
8941,1111,937
8951,1112,937
8963,1113,941
8969,1114,941
8971,1115,941
8999,1116,947
9001,1117,946
9007,1118,946
9011,1119,945
9013,1120,944
9029,1121,947
9041,1122,949
9043,1123,948
9049,1124,949
9059,1125,948
9067,1126,952
9091,1127,955
9103,1128,956
9109,1129,957
9127,1130,961
9133,1131,961
9137,1132,961
9151,1133,963
9157,1134,965
9161,1135,964
9173,1136,965
9181,1137,965
9187,1138,966
9199,1139,967
9203,1140,967
9209,1141,967
9221,1142,969
9227,1143,970
9239,1144,971
9241,1145,971
9257,1146,972
9277,1147,977
9281,1148,976
9283,1149,975
9293,1150,975
9311,1151,977
9319,1152,977
9323,1153,976
9337,1154,977
9341,1155,977
9343,1156,976
9349,1157,976
9371,1158,979
9377,1159,980
9391,1160,981
9397,1161,982
9403,1162,983
9413,1163,982
9419,1164,981
9421,1165,981
9431,1166,981
9433,1167,980
9437,1168,980
9439,1169,979
9461,1170,983
9463,1171,982
9467,1172,981
9473,1173,980
9479,1174,980
9491,1175,982
9497,1176,981
9511,1177,983
9521,1178,984
9533,1179,984
9539,1180,985
9547,1181,987
9551,1182,986
9587,1183,990
9601,1184,991
9613,1185,994
9619,1186,995
9623,1187,994
9629,1188,994
9631,1189,994
9643,1190,995
9649,1191,995
9661,1192,997
9677,1193,997
9679,1194,996
9689,1195,996
9697,1196,999
9719,1197,1005
9721,1198,1005
9733,1199,1007
9739,1200,1009
9743,1201,1009
9749,1202,1009
9767,1203,1011
9769,1204,1010
9781,1205,1013
9787,1206,1013
9791,1207,1013
9803,1208,1015
9811,1209,1015
9817,1210,1014
9829,1211,1013
9833,1212,1013
9839,1213,1012
9851,1214,1015
9857,1215,1015
9859,1216,1015
9871,1217,1016
9883,1218,1019
9887,1219,1018
9901,1220,1020
9907,1221,1020
9923,1222,1022
9929,1223,1022
9931,1224,1022
9941,1225,1022
9949,1226,1023
9967,1227,1025
9973,1228,1025
10007,1229,1033
10009,1230,1032
10037,1231,1038
10039,1232,1037
10061,1233,1041
10067,1234,1042
10069,1235,1041
10079,1236,1043
10091,1237,1045
10093,1238,1045
10099,1239,1044
10103,1240,1044
10111,1241,1044
10133,1242,1047
10139,1243,1047
10141,1244,1046
10151,1245,1047
10159,1246,1046
10163,1247,1046
10169,1248,1047
10177,1249,1049
10181,1250,1050
10193,1251,1050
10211,1252,1054
10223,1253,1056
10243,1254,1058
10247,1255,1057
10253,1256,1056
10259,1257,1057
10267,1258,1058
10271,1259,1057
10273,1260,1057
10289,1261,1059
10301,1262,1060
10303,1263,1059
10313,1264,1059
10321,1265,1061
10331,1266,1060
10333,1267,1060
10337,1268,1059
10343,1269,1059
10357,1270,1060
10369,1271,1062
10391,1272,1068
10399,1273,1068
10427,1274,1070
10429,1275,1070
10433,1276,1069
10453,1277,1074
10457,1278,1073
10459,1279,1072
10463,1280,1072
10477,1281,1074
10487,1282,1075
10499,1283,1076
10501,1284,1076
10513,1285,1080
